beta_stage2,beta_mf0,beta_mf1,beta_mb,beta_stick,Q_MB_rare_prob,alpha,lam,rew_rate,rew_rate_stderr
8.0,0.7702430706618513,0.0,0.22975692933814873,0.0,0.3,0.01,0.0,0.5298499999999999,0.0021516615027048795
8.0,0.3899755175774603,0.0,0.6100244824225397,0.0,0.3,0.01,0.0,0.5298499999999999,0.0021516615027048795
8.0,0.0,1.0,0.0,0.0,0.3,0.01,0.0,0.5298499999999999,0.0021516615027048795
8.0,0.0,0.0,1.0,0.0,0.3,0.01,0.0,0.5298499999999999,0.0021516615027048795
8.0,0.04176415840266112,0.0,0.9582358415973389,0.0,0.3,0.01,0.0,0.5298499999999999,0.0021516615027048795
8.0,0.9782914422814939,0.0,0.021708557718506105,0.0,0.3,0.01,0.0,0.5298499999999999,0.0021516615027048795
8.0,1.0,0.0,0.0,0.0,0.3,0.01,0.0,0.5298499999999999,0.0021516615027048795
8.0,0.09706407679886975,0.0,0.9029359232011303,0.0,0.3,0.01,0.0,0.5298499999999999,0.0021516615027048795
8.0,0.12137364659095595,0.0,0.878626353409044,0.0,0.3,0.01,0.0,0.5308166666666667,0.0021121997923877756
8.0,0.0,0.586174086389836,0.41382591361016396,0.0,0.3,0.01,0.0,0.5308166666666667,0.0021121997923877756
8.0,0.0,0.4202146193417752,0.5797853806582248,0.0,0.3,0.01,0.0,0.5308166666666667,0.0021121997923877756
8.0,0.0,0.5356549003166676,0.4643450996833324,0.0,0.3,0.01,0.0,0.5308166666666667,0.0021121997923877756
8.0,0.0,0.4270473972114085,0.5729526027885915,0.0,0.3,0.01,0.0,0.5308166666666667,0.0021121997923877756
8.0,0.0,0.7822452941380528,0.21775470586194723,0.0,0.3,0.01,0.0,0.5308166666666667,0.0021121997923877756
8.0,0.7419740219238095,0.25802597807619054,0.0,0.0,0.3,0.01,0.0,0.5308166666666667,0.0021121997923877756
8.0,0.7626245300893904,0.23737546991060965,0.0,0.0,0.3,0.01,0.0,0.5308166666666667,0.0021121997923877756
8.0,0.2892439234170201,0.7107560765829799,0.0,0.0,0.3,0.01,0.0,0.5322833333333333,0.002173478820965409
8.0,0.6808207864805467,0.31917921351945333,0.0,0.0,0.3,0.01,0.0,0.5322833333333333,0.002173478820965409
8.0,0.43504369480713123,0.5649563051928688,0.0,0.0,0.3,0.01,0.0,0.5322833333333333,0.002173478820965409
8.0,0.48881257459267924,0.49899051696203467,0.012196908445286092,0.0,0.3,0.01,0.0,0.5322833333333333,0.002173478820965409
8.0,0.8060585767103218,0.06596532835547286,0.12797609493420536,0.0,0.3,0.01,0.0,0.5322833333333333,0.002173478820965409
8.0,0.013915672104432897,0.04249990317995245,0.9435844247156147,0.0,0.3,0.01,0.0,0.5322833333333333,0.002173478820965409
8.0,0.16874472898001003,0.635629935909996,0.19562533510999403,0.0,0.3,0.01,0.0,0.5322833333333333,0.002173478820965409
8.0,0.5837914550594936,0.37900097500786556,0.03720756993264085,0.0,0.3,0.01,0.0,0.5322833333333333,0.002173478820965409
8.0,0.050908054732815344,0.21224922976468585,0.7368427155024988,0.0,0.3,0.01,0.0,0.5285333333333333,0.002167191389452837
8.0,0.5949221548416184,0.0063357827690803115,0.3987420623893013,0.0,0.3,0.01,0.0,0.5285333333333333,0.002167191389452837
8.0,0.11393028708755004,0.18717631934823697,0.698893393564213,0.0,0.3,0.01,0.0,0.5285333333333333,0.002167191389452837
8.0,0.2699658331038737,0.37880449611387634,0.35122967078225,0.0,0.3,0.01,0.0,0.5285333333333333,0.002167191389452837
8.0,0.34927915204870075,0.014910234240467002,0.6358106137108323,0.0,0.3,0.01,0.0,0.5285333333333333,0.002167191389452837
8.0,0.48410514951695416,0.2989119021602539,0.21698294832279197,0.0,0.3,0.01,0.0,0.5285333333333333,0.002167191389452837
8.0,0.0,0.0,1.0,0.0,0.3,0.01,0.5,0.5286666666666666,0.002165811797165381
8.0,1.0,0.0,0.0,0.0,0.3,0.01,0.5,0.5285,0.0021683967451655247
8.0,0.0,1.0,0.0,0.0,0.3,0.01,0.5,0.5292333333333332,0.0022264163199252804
8.0,0.3899755175774603,0.0,0.6100244824225397,0.0,0.3,0.01,0.5,0.5289666666666667,0.002222310276033246
8.0,0.04176415840266112,0.0,0.9582358415973389,0.0,0.3,0.01,0.5,0.5290166666666666,0.0022214482680016218
8.0,0.09706407679886975,0.0,0.9029359232011303,0.0,0.3,0.01,0.5,0.5290166666666666,0.0022214482680016218
8.0,0.7702430706618513,0.0,0.22975692933814873,0.0,0.3,0.01,0.5,0.52895,0.0022264676807295745
8.0,0.9782914422814939,0.0,0.021708557718506105,0.0,0.3,0.01,0.5,0.5289666666666667,0.002225932180924224
8.0,0.12137364659095595,0.0,0.878626353409044,0.0,0.3,0.01,0.5,0.5290333333333334,0.002221160023918099
8.0,0.0,0.586174086389836,0.41382591361016396,0.0,0.3,0.01,0.5,0.5292500000000001,0.0022262480893996415
8.0,0.4751175514679711,0.0,0.5248824485320289,0.0,0.3,0.01,0.0,0.5340312500000001,0.0024356951952131394
8.0,0.2527989858138352,0.0,0.7472010141861648,0.0,0.3,0.01,0.0,0.5340312500000001,0.0024356951952131394
8.0,0.8671207099402515,0.0,0.13287929005974852,0.0,0.3,0.01,0.0,0.5340312500000001,0.0024356951952131394
8.0,0.4821717883158303,0.0,0.5178282116841697,0.0,0.3,0.01,0.0,0.5340312500000001,0.0024356951952131394
