beta_stage2,beta_mf0,beta_mf1,beta_mb,beta_stick,Q_MB_rare_prob,alpha,rew_rate,rew_rate_stderr
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5330333333333335,0.0020659667273503018
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5330333333333335,0.0020659667273503018
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5330333333333335,0.0020659667273503018
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5330333333333335,0.0020659667273503018
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5330333333333335,0.0020659667273503018
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5330333333333335,0.0020659667273503018
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5330333333333335,0.0020659667273503018
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5330333333333335,0.0020659667273503018
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5330333333333335,0.0020659667273503018
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5330333333333335,0.0020659667273503018
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5351666666666666,0.0020372685053676553
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5351666666666666,0.0020372685053676553
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5351666666666666,0.0020372685053676553
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5351666666666666,0.0020372685053676553
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5351666666666666,0.0020372685053676553
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5351666666666666,0.0020372685053676553
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5351666666666666,0.0020372685053676553
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5351666666666666,0.0020372685053676553
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5351666666666666,0.0020372685053676553
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5351666666666666,0.0020372685053676553
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5273666666666667,0.0021588825984925797
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5273666666666667,0.0021588825984925797
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5273666666666667,0.0021588825984925797
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5273666666666667,0.0021588825984925797
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5273666666666667,0.0021588825984925797
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5273666666666667,0.0021588825984925797
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5273666666666667,0.0021588825984925797
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5273666666666667,0.0021588825984925797
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5273666666666667,0.0021588825984925797
8.0,0.0,0.0,0.0,0.0,0.3,0.01,0.5273666666666667,0.0021588825984925797
8.0,0.0,0.0,0.5,0.0,0.3,0.01,0.5325333333333333,0.00212987914802347
8.0,0.5,0.0,0.0,0.0,0.3,0.01,0.5324333333333334,0.002137427494979957
8.0,0.0,0.5,0.0,0.0,0.3,0.01,0.5323,0.0021489351368113043
8.0,0.3384139923169019,0.0,0.1615860076830981,0.0,0.3,0.01,0.5325,0.002132356547213538
8.0,0.40268557301433233,0.0,0.09731442698566767,0.0,0.3,0.01,0.5324666666666666,0.0021357399619769215
8.0,0.23997752887732643,0.0,0.26002247112267357,0.0,0.3,0.01,0.5324666666666666,0.00213013997105737
8.0,0.26843923487796045,0.0,0.23156076512203955,0.0,0.3,0.01,0.5325,0.002131574796039564
8.0,0.12124365470004111,0.0,0.3787563452999589,0.0,0.3,0.01,0.5324833333333333,0.002131444259095139
